이름,평점,위치,카테고리,리뷰 수,조회 수
육전식당 (4호점),4.4,역삼/선릉,고기 요리,145,"216,050"
모찌방,4.4,대치동,카페 / 디저트,77,"104,436"
노란상소갈비 (본점),4.4,논현동,고기 요리,75,"82,395"
홍명,4.4,논현동,정통 중식 / 일반 중식,119,"149,151"
바게트K,4.4,역삼/선릉,베이커리,78,"60,946"
야사이마끼 쿠이신보,4.4,가로수길,이자카야 / 오뎅 / 꼬치,36,"68,476"
허머스키친 (파르나스몰),4.4,삼성동,세계음식 기타,119,"172,859"
시고로,4.4,청담동,퓨전 양식,37,"44,969"
와려,4.4,대치동,정통 일식 / 일반 일식,20,"39,015"
임프레션,4.4,신사/압구정,프랑스 음식,30,"46,232"
농민백암순대 (본점),4.4,역삼/선릉,탕 / 찌개 / 전골,190,"353,644"
가온,4.4,신사/압구정,한정식 / 백반 / 정통 한식,20,"67,575"
호루몬,4.4,신사/압구정,이자카야 / 오뎅 / 꼬치,40,"46,287"
쇼토,4.4,가로수길,베이커리,79,"48,319"
더라운드 (삼성점),4.4,삼성동,정통 중식 / 일반 중식,29,"28,346"
켄,4.4,신사/압구정,정통 일식 / 일반 일식,21,"90,924"
원스타 올드패션드 햄버거,4.4,도곡동,브런치 / 버거 / 샌드위치,71,"57,322"
스미카,4.4,신사/압구정,회 / 스시,11,"4,902"
르챔버,4.4,청담동,칵테일 / 와인,96,"182,991"
치즈룸,4.4,신사/압구정,이탈리안,57,"54,236"
쎄쎄종,4.4,논현동,카페 / 디저트,52,"55,728"
고갯마루집,4.4,역삼/선릉,닭 / 오리 요리,130,"206,002"
어물전 청 (도산공원점),4.4,신사/압구정,퓨전 한식,17,"26,221"
스시장종현,4.4,청담동,회 / 스시,13,"14,065"
외고집설렁탕,4.4,삼성동,탕 / 찌개 / 전골,140,"175,594"
해목 (논현점),4.4,논현동,정통 일식 / 일반 일식,31,"24,261"
세야스시,4.4,청담동,회 / 스시,25,"73,951"
효계,4.4,가로수길,닭 / 오리 요리,22,"50,424"
호루몬규상,4.4,논현동,고기 요리,20,"21,769"
알라보 (강남역점),4.4,역삼/선릉,기타 양식,73,"77,575"
고급오복수산,4.4,신사/압구정,정통 일식 / 일반 일식,52,"51,542"
비플레이트 바이 브라운브레드,4.4,도곡동,베이커리,74,"150,260"
